"filename","source","MISC"
"tlg0284.tlg020.perseus-grc2_oga020_src","Aristides, Aelius, Orat.20_260","t_1|t_2|ref=Orat.20_260"
"tlg0284.tlg021.perseus-grc2_oga020_src","Aristides, Aelius, Orat.21_263","t_1|t_8|ref=Orat.21_263"
"tlg0284.tlg022.perseus-grc2_oga020_src","Aristides, Aelius, Orat.21_269","t_1|0|ref=Orat.21_269"
"tlg0284.tlg023.perseus-grc2_oga020_src","Aristides, Aelius, Orat.21_273","t_1|0|ref=Orat.21_273"
"tlg0284.tlg024.perseus-grc2_oga020_src","Aristides, Aelius, Orat.21_291","t_1|t_6|ref=Orat.21_291"
"tlg0284.tlg025.perseus-grc2_oga020_src","Aristides, Aelius, Orat.21_309","t_1|0|ref=Orat.21_309"
"tlg0284.tlg026.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 26_321","t_1|t_8|ref=Orat. 26_321"
"tlg0284.tlg027.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 27_347","t_1|t_4|ref=Orat. 27_347"
"tlg0284.tlg028.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 28_362","t_1|t_4|ref=Orat. 28_362"
"tlg0284.tlg029.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 29_363","t_1|t_9|ref=Orat. 29_363"
"tlg0284.tlg030.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 30_376","t_1|e_1|ref=Orat. 30_376"
"tlg0284.tlg031.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 31_391","t_1|e_1|ref=Orat. 31_391"
"tlg0284.tlg032.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 32_399","t_1|t_7|ref=Orat. 32_399"
"tlg0284.tlg033.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 33_407","t_1|t_2|ref=Orat. 33_407"
"tlg0284.tlg034.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 34_427","t_1|0|ref=Orat. 34_427"
"tlg0284.tlg035.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 35_448","t_1|t_8|ref=Orat. 35_448"
"tlg0284.tlg036.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 36_457","t_1|t_8|ref=Orat. 36_457"
"tlg0284.tlg037.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 37_465","t_1|t_12|ref=Orat. 37_465"
"tlg0284.tlg038.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 38_477","t_1|t_4|ref=Orat. 38_477"
"tlg0284.tlg039.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 39_490","t_1|0|ref=Orat. 39_490"
"tlg0284.tlg040.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 40_504","t_1|0|ref=Orat. 40_504"
"tlg0284.tlg041.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 41_512","t_1|t_2|ref=Orat. 41_512"
"tlg0284.tlg042.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 42_517","t_1|t_3|ref=Orat. 42_517"
"tlg0284.tlg043.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 43_539","t_1|e_1|ref=Orat. 43_539"
"tlg0284.tlg044.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 44_557","t_1|t_28|ref=Orat. 44_557"
"tlg0284.tlg045.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 45_1","t_1|0|ref=Orat. 45_1"
"tlg0284.tlg046.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 46_116","t_1|t_7|ref=Orat. 46_116"
"tlg0284.tlg047.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 47_315","t_1|t_5|ref=Orat. 47_315"
"tlg0284.tlg048.perseus-grc2_oga020_src","Aristides, Aelius, Orat. 48_331","t_1|t_3|ref=Orat. 48_331"
