"cts_urn","abbv","title"
"pta0001.pta060","cosmog.hom.4","In cosmogoniam homilia 4"
"pta0001.pta061","cosmog.hom.5","In cosmogoniam homilia 5"
"pta0001.pta062","cosmog.hom.6","In cosmogoniam homilia 6"
"pta0003.pta007","c.Marcel.","Contra Marcellum_urn:cts:pta:pta0003.pta007.pta-grc1"
"pta0003.pta009","eccles.theol.","De ecclesiastica theologia_urn:cts:pta:pta0003.pta009.pta-grc1"
"pta0003.pta017","Is.com.","Commentarius in Isaiam_urn:cts:pta:pta0003.pta017.pta-grc1"
"pta0004.pta003","H.E.","Historia ecclesiastica_urn:cts:pta:pta0004.pta003.pta-grc1"
"pta0005.pta001","ador.cult.spir.","De adoratione et cultu in spiritu et ueritate_urn:cts:pta:pta0005.pta001.pta-grc1"
"pta0005.pta002","glaph.Pent.","Glaphyra in Pentateuchum_urn:cts:pta:pta0005.pta002.pta-grc1"
"pta0006.pta001","Ps.com.magn.","Commentarius magnus in Psalmos_urn:cts:pta:pta0006.pta001.pta-grc1"
"pta0007.pta007","exh.mart.","Exhortatio ad martyrium_urn:cts:pta:pta0007.pta007.pta-grc1"
"pta0007.pta008","orat.","De oratione"
"pta0012.pta001","H.E.","Historia ecclesiastica_urn:cts:pta:pta0012.pta001.pta-grc1"
"pta0013.pta003","epistl.synod.","Epistula synodalis"
"pta0022.pta001","c.gent.","Contra gentes"
"pta0022.pta002","incarn.","De incarnatione_urn:cts:pta:pta0022.pta002.pta-grc1"
"pta0022.pta003","decret.Nic.syn.","De decretis Nicaenae synodi"
"pta0022.pta004","sent.Dionys.","De sententia Dionysii"
"pta0022.pta010","Const.apol.","Apologia ad Constantium"
"pta0022.pta011","Ioan.Ant.ep.","Epistula ad Ioannem et Antiochum_urn:cts:pta:pta0022.pta011.pta-grc1"
"pta0022.pta012","Pallad.ep.","Epistula ad Palladium_urn:cts:pta:pta0022.pta012.pta-grc1"
"pta0022.pta013","Drac.ep.","Epistula ad Dracontium"
"pta0022.pta014","Afros.ep.","Epistula ad Afros"
"pta0022.pta015","Antioch.tom.","Tomus ad Antiochenos"
"pta0022.pta016","Jovian.ep.","Epistula ad Jovianum"
"pta0022.pta017","Arianor.pet.","Petitiones Arianorum"
"pta0023.pta001","fr.","Fragmenta"
"pta0029.pta002","sabb.circum.","De sabbatis et circumcisione_urn:cts:pta:pta0029.pta002.pta-grc1"
"pta0030.pta016","die.dom.","De die dominica_urn:cts:pta:pta0030.pta016.pta-grc2"
"pta0036.pta001","H.E.","Historia ecclesiastica"
"pta0037.pta001","Dan.com.","Commentarii in Danielem"
"pta0038.pta001","Past.","Pastor"
"pta0039.pta001","dominic.die.hom.","Homilia de dominica die_urn:cts:pta:pta0039.pta001.pta-grc1"
"pta0040.pta001","sanct.dominic.hom.","Homilia de sancta dominica_urn:cts:pta:pta0040.pta001.pta-grc1"
"pta0041.pta001","Conon.","Vita sancti Cononis Bidanae"
"pta0100.pta001","AW1","Dok. 1: Theologische Erklärung alexandrinischer Kleriker an Alexander von Alexandrien_urn:cts:pta:pta0100.pta001.pta-grc1"
"pta0100.pta002","AW2","Dok. 2: Briefe des Alexander von Alexandrien"
"pta0100.pta003","AW3","Dok. 3: Regest eines Rundbriefes einer Synode in Bithynien"
"pta0100.pta004","AW4","Dok. 4: Brief des Eusebius von Nikomedien an Paulinus von Tyrus"
"pta0100.pta005","AW5","Dok. 5: Referate eines_urn:cts:pta:pta0100.pta005.pta-grc1"
"pta0100.pta006","AW6","Dok. 6: Fragment eines Briefes des Presbyters Georgius an Alexander von Alexandrien_urn:cts:pta:pta0100.pta006.pta-grc1"
"pta0100.pta007","AW7","Dok. 7: Fragment eines Briefes des Presbyters Georgius an die »Arianer« in Alexandrien_urn:cts:pta:pta0100.pta007.pta-grc1"
"pta0100.pta008","AW8","Dok. 8: Regeste eines Briefes_urn:cts:pta:pta0100.pta008.pta-grc1"
"pta0100.pta009","AW9","Dok. 9: Fragment eines Briefes des Eusebius von Caesarea an Alexander von Alexandrien_urn:cts:pta:pta0100.pta009.pta-grc1"
"pta0100.pta010","AW10","Dok. 10: Fragmente eines Briefes des Eusebius von Caesarea an Euphration von Balaneae_urn:cts:pta:pta0100.pta010.pta-grc1"
"pta9999.pta001","Gen.","Genesis_urn:cts:pta:pta9999.pta001.pta-grc1"
"pta9999.pta002","Exod.","Exodus_urn:cts:pta:pta9999.pta002.pta-grc1"
"pta9999.pta003","Lev.","Leviticus_urn:cts:pta:pta9999.pta003.pta-grc1"
"pta9999.pta004","Num.","Numeri_urn:cts:pta:pta9999.pta004.pta-grc1"
"pta9999.pta005","Deut.","Deuteronomium_urn:cts:pta:pta9999.pta005.pta-grc1"
"pta9999.pta006","Jos.","Josue_urn:cts:pta:pta9999.pta006.pta-grc1"
"pta9999.pta007","Jud.","Judices_urn:cts:pta:pta9999.pta007.pta-grc1"
"pta9999.pta008","Ruth","Ruth_urn:cts:pta:pta9999.pta008.pta-grc1"
"pta9999.pta009","1Sam","Regnorum I_urn:cts:pta:pta9999.pta009.pta-grc1"
"pta9999.pta010","2Sam","Regnorum II_urn:cts:pta:pta9999.pta010.pta-grc1"
"pta9999.pta011","1Kgs","Regnorum III_urn:cts:pta:pta9999.pta011.pta-grc1"
"pta9999.pta012","2Kgs","Regnorum IV_urn:cts:pta:pta9999.pta012.pta-grc1"
"pta9999.pta013","1Chrn.","Paralipomenon I_urn:cts:pta:pta9999.pta013.pta-grc1"
"pta9999.pta014","2Chrn.","Paralipomenon II_urn:cts:pta:pta9999.pta014.pta-grc1"
"pta9999.pta016","Ezr","Esdrae I_urn:cts:pta:pta9999.pta016.pta-grc1"
"pta9999.pta017","Neh.","Esdrae II_urn:cts:pta:pta9999.pta017.pta-grc1"
"pta9999.pta020","Esth.","Esther_urn:cts:pta:pta9999.pta020.pta-grc1"
"pta9999.pta021","Jdt","Judith_urn:cts:pta:pta9999.pta021.pta-grc1"
"pta9999.pta022","Tob","Tobias_urn:cts:pta:pta9999.pta022.pta-grc1"
"pta9999.pta023","1Mac","Machabaeorum I_urn:cts:pta:pta9999.pta023.pta-grc1"
"pta9999.pta024","2Mac","Machabaeorum II_urn:cts:pta:pta9999.pta024.pta-grc1"
"pta9999.pta025","3Mac","Machabaeorum III_urn:cts:pta:pta9999.pta025.pta-grc1"
"pta9999.pta026","4Mac","Machabaeorum IV_urn:cts:pta:pta9999.pta026.pta-grc1"
"pta9999.pta031","Ps.","Psalmi_urn:cts:pta:pta9999.pta031.pta-grc1"
"pta9999.pta032","Od.","Odae_urn:cts:pta:pta9999.pta032.pta-grc1"
"pta9999.pta033","Prov.","Proverbia_urn:cts:pta:pta9999.pta033.pta-grc1"
"pta9999.pta034","Eccl.","Ecclesiastes_urn:cts:pta:pta9999.pta034.pta-grc1"
"pta9999.pta035","Cant.","Canticum_urn:cts:pta:pta9999.pta035.pta-grc1"
"pta9999.pta036","Job","Job_urn:cts:pta:pta9999.pta036.pta-grc1"
"pta9999.pta037","Wis.Sol.","Sapientia Salomonis_urn:cts:pta:pta9999.pta037.pta-grc1"
"pta9999.pta038","Sir.","Siracides_urn:cts:pta:pta9999.pta038.pta-grc1"
"pta9999.pta039","Ps.Sol.","Psalmi Salomonis_urn:cts:pta:pta9999.pta039.pta-grc1"
"pta9999.pta040","Hos.","Osee_urn:cts:pta:pta9999.pta040.pta-grc1"
"pta9999.pta041","Amos","Amos_urn:cts:pta:pta9999.pta041.pta-grc1"
"pta9999.pta042","Mic.","Michaeas_urn:cts:pta:pta9999.pta042.pta-grc1"
"pta9999.pta043","Joel","Joel_urn:cts:pta:pta9999.pta043.pta-grc1"
"pta9999.pta044","Obad.","Abdias_urn:cts:pta:pta9999.pta044.pta-grc1"
"pta9999.pta045","Jon.","Jonas_urn:cts:pta:pta9999.pta045.pta-grc1"
"pta9999.pta046","Nah.","Nahum_urn:cts:pta:pta9999.pta046.pta-grc1"
"pta9999.pta047","Hab.","Habacuc_urn:cts:pta:pta9999.pta047.pta-grc1"
"pta9999.pta048","Zeph.","Sophonias_urn:cts:pta:pta9999.pta048.pta-grc1"
"pta9999.pta049","Hag.","Aggaeus_urn:cts:pta:pta9999.pta049.pta-grc1"
"pta9999.pta050","Zech.","Zacharias_urn:cts:pta:pta9999.pta050.pta-grc1"
"pta9999.pta051","Mal.","Malachias_urn:cts:pta:pta9999.pta051.pta-grc1"
"pta9999.pta052","Isa.","Isaias_urn:cts:pta:pta9999.pta052.pta-grc1"
"pta9999.pta053","Jer.","Jeremias_urn:cts:pta:pta9999.pta053.pta-grc1"
"pta9999.pta054","Bar.","Baruch_urn:cts:pta:pta9999.pta054.pta-grc1"
"pta9999.pta055","Lam.","Threni seu Lamentationes_urn:cts:pta:pta9999.pta055.pta-grc1"
