"cts_urn","abbv","title"
"tlg0007.tlg122","Cp.Aristoph.Men.","Comparationis Aristophanis et Menandri compendium"
"tlg0007.tlg123","Herod.malign.","De Heroditi malignate"
"tlg0007.tlg125","Qu.Nat.","Quaestiones Naturales"
"tlg0007.tlg126","Fac.orb.Lun.","De Facie Quae in orbe Lunae Apparet"
"tlg0007.tlg127","prim.frig.","De primo frigido"
"tlg0007.tlg128","Aq.ign.","Aquane an ignis sit utilior"
"tlg0007.tlg129","soll.animal.","De sollertia animalium"
"tlg0007.tlg130","Brut.animal.rat.","Bruta animalia ratione uti"
"tlg0007.tlg131","es.carn.I","De esu carnium I"
"tlg0007.tlg132","es.carn.II","De esu carnium II"
"tlg0007.tlg133","Plat.qu.","Platonicae quaestiones"
"tlg0007.tlg134","anim.procr.Tim.","De animae procreatione in Timaeo"
"tlg0007.tlg135","Epit.anim.proc.","Epitome libri de animae procreatione in Timaeo"
"tlg0007.tlg136","Stoic.repugn.","De Stoicorum repugnantiis"
"tlg0007.tlg137","arg.Stoic.","Compendium argumenti Stoicos absurdiora poetis dicere"
"tlg0007.tlg138","comm.not.Stoic.","De communibus notitiis adversus Stoicos"
"tlg0007.tlg139","Suav.","Non Posse Suaviter Vivi Secundum Epicurum"
"tlg0007.tlg140","Colot.","Adversus Coloten"
"tlg0007.tlg141","Rect.Latent.","An Recte Dictum Sit Latenter Esse Vivendum"
"tlg0007.tlg146","Paroim.Alex.","Παροιμίαι αἷς Ἀλεξανδρεῖς ἐχρῶντο"
"tlg0007.tlg147","Eclog.adun.","Ἐκλογὴ περὶ τῶν ἀδυνάτων"
"tlg0008.tlg001","Deipn.","Deipnosophistae"
"tlg0010.tlg001","c.Euth.","Against Euthynus"
"tlg0010.tlg002","c.Callim.","Against Callimachus"
"tlg0010.tlg003","c.Loch.","Against Lochites"
"tlg0010.tlg004","Equor.","Concerning the Team of Horses"
"tlg0010.tlg005","Trapez.","Trapeziticus"
"tlg0010.tlg006","Aegin.","Aegineticus"
"tlg0010.tlg007","Demon.","To Demonicus"
"tlg0010.tlg008","c.Soph.","Against the Sophists"
"tlg0010.tlg009","Hel.","Helen"
"tlg0010.tlg010","Busir.","Busiris"
"tlg0010.tlg011","Panegyr.","Panegyricus"
"tlg0010.tlg012","Plataic.","Plataicus"
"tlg0010.tlg013","Nicocl.","To Nicocles"
"tlg0010.tlg014","Nic.Cypr.","Nicocles or the Cyprians"
"tlg0010.tlg015","Evag.","Evagoras"
"tlg0010.tlg016","Archid.1","Archidamus"
"tlg0010.tlg017","Pax","On the Peace"
"tlg0010.tlg018","Areopag.","Areopagiticus"
"tlg0010.tlg019","Antidos.","Antidosis"
"tlg0010.tlg020","Phil.","To Philip"
"tlg0010.tlg021","Panath.","Panathenaicus"
"tlg0010.tlg022","Dionys.","To Dionysius"
"tlg0010.tlg023","Fil.Jas.","To the Children of Jason"
"tlg0010.tlg024","Archid.2","To Archidamus"
"tlg0010.tlg025","Princ.Mytil.","To the Rulers of the Mytilenaeans"
"tlg0010.tlg026","Timoth.","To Timotheus"
"tlg0010.tlg027","Phil.I","To Philip, I"
"tlg0010.tlg028","Alex.","To Alexander"
"tlg0010.tlg029","Antipat.","To Antipater"
"tlg0010.tlg030","Phil.II","To Philip, II"
"tlg0011.tlg001","Trach.","Trachiniae"
"tlg0011.tlg002","Antig.","Antigone"
"tlg0011.tlg003","Ajax","Ajax"
"tlg0011.tlg004","Oed.Tyr.","Oedipus Tyrannus"
"tlg0011.tlg005","Electr.","Electra"
"tlg0011.tlg006","Philoct.","Philoctetes"
"tlg0011.tlg007","Oed.Col.","Oedipus at Colonus"
"tlg0011.tlg008","Ichn.","Ichneutae"
"tlg0012.tlg001","Il.","Iliad"
"tlg0012.tlg002","Od.","Odyssey"
"tlg0012.tlg003","Epig.","Epigrams"
"tlg0013.tlg001","HH1.Dion.","Hymn 1 to Dionysus"
"tlg0013.tlg002","HH2.Dem.","Hymn 2 to Demeter"
"tlg0013.tlg003","HH3.Apol.","Hymn 3 to Delian and Pythian Apollo"
"tlg0013.tlg004","HH4.Herm.","Hymn 4 to Hermes"
"tlg0013.tlg005","HH5.Aph.","Hymn 5 to Aphrodite"
"tlg0013.tlg006","HH6.Aph.","Hymn 6 to Aphrodite"
"tlg0013.tlg007","HH7.Dion.","Hymn 7 to Dionysus"
"tlg0013.tlg008","HH8.Ares","Hymn 8 to Ares"
"tlg0013.tlg009","HH9.Artem.","Hymn 9 to Artemis"
"tlg0013.tlg010","HH10.Aphr.","Hymn 10 to Aphrodite"
"tlg0013.tlg011","HH11.Athen.","Hymn 11 To Athena"
"tlg0013.tlg012","HH12.Her.","Hymn 12 to Hera"
"tlg0013.tlg013","HH13.Dem.","Hymn 13 to Demeter"
"tlg0013.tlg014","HH14.Mat.","Hymn 14 to the Mother of the Gods"
"tlg0013.tlg015","HH15.Herac.","Hymn 15 To Heracles"
"tlg0013.tlg016","HH16.Ascl.","Hymn 16 To Asclepius"
"tlg0013.tlg017","HH17.Diosc.","Hymn 17 To the Dioscuri"
"tlg0013.tlg018","HH18.Herm.","Hymn 18 to Hermes"
"tlg0013.tlg019","HH19.Pan","Hymn 19 to Pan"
"tlg0013.tlg020","HH20.Heph.","Hymn 20 To Hephaestus"
"tlg0013.tlg021","HH21.Apol.","Hymn 21 To Apollo"
"tlg0013.tlg022","HH22.Pos.","Hymn 22 To Poseidon"
"tlg0013.tlg023","HH23.Zeus","Hymn 23 to Zeus"
"tlg0013.tlg024","HH24.Hest.","Hymn 24 To Hestia"
"tlg0013.tlg025","HH25.Mus.Apol.","Hymn 25 To the Muses and Apollo"
"tlg0013.tlg026","HH26.Dion.","Hymn 26 To Dionysus"
"tlg0013.tlg027","HH27.Artem.","Hymn 27 to Artemis"
"tlg0013.tlg028","HH28.Athen.","Hymn 28 to Athena"
"tlg0013.tlg029","HH29.Hest.","Hymn 29 to Hestia"
"tlg0013.tlg030","HH30.Ter","Hymn 30 to Earth"
"tlg0013.tlg031","HH31.Hel.","Hymn 31 to Helios"
"tlg0013.tlg032","HH32.Sel.","Hymn 32 To Selene"
"tlg0013.tlg033","HH33.Diosc.","Hymn 33 To the Dioscuri"
"tlg0014.tlg001","Dem. 1","First Olynthiac"
"tlg0014.tlg002","Dem. 2","Second Olynthiac"
"tlg0014.tlg003","Dem. 3","Third Olynthiac"
"tlg0014.tlg004","Dem. 4","First Philippic"
"tlg0014.tlg005","Dem. 5","On the Peace"
"tlg0014.tlg006","Dem. 6","Second Philippic"
"tlg0014.tlg007","Dem. 7","On Halonnesus"
"tlg0014.tlg008","Dem. 8","On the Chersonese"
"tlg0014.tlg009","Dem. 9","Third Philippic"
"tlg0014.tlg010","Dem. 10","Fourth Philippic"
"tlg0014.tlg011","Dem. 11","Answer to Philip’s Letter"
"tlg0014.tlg012","Dem. 12","Philip’s Letter"
"tlg0014.tlg013","Dem. 13","On Organization"
"tlg0014.tlg014","Dem. 14","On the Navy-Boards"
"tlg0014.tlg015","Dem. 15","For the Liberty of the Rhodians"
"tlg0014.tlg016","Dem. 16","For the People of Megalopolis"
"tlg0014.tlg017","Dem. 17","On the Treaty with Alexander"
"tlg0014.tlg018","Dem. 18","On the Crown"
"tlg0014.tlg019","Dem. 19","On the False Embassy"
"tlg0014.tlg020","Dem. 20","Against Leptines"
"tlg0014.tlg021","Dem. 21","Against Meidias"
"tlg0014.tlg022","Dem. 22","Against Androtion"
"tlg0014.tlg023","Dem. 23","Against Aristocrates"
"tlg0014.tlg024","Dem. 24","Against Timocrates"
"tlg0014.tlg025","Dem. 25","Against Aristogeiton I"
"tlg0014.tlg026","Dem. 26","Against Aristogeiton II"
"tlg0014.tlg027","Dem. 27","Against Aphobus I"
"tlg0014.tlg028","Dem. 28","Against Aphobus II"
"tlg0014.tlg029","Dem. 29","Against Aphobus III"
"tlg0014.tlg030","Dem. 30","Against Onetor I"
"tlg0014.tlg031","Dem. 31","Against Onetor II"
"tlg0014.tlg032","Dem. 32","Against Zenothemis"
"tlg0014.tlg033","Dem. 33","Against Apaturius"
"tlg0014.tlg034","Dem. 34","Against Phormio"
"tlg0014.tlg035","Dem. 35","Against Lacritus"
"tlg0014.tlg036","Dem. 36","For Phormio"
"tlg0014.tlg037","Dem. 37","Against Pantaenetus"
"tlg0014.tlg038","Dem. 38","Against Nausimachus and Xenopeithes"
"tlg0014.tlg039","Dem. 39","Against Boeotus I"
"tlg0014.tlg040","Dem. 40","Against Boeotus II"
"tlg0014.tlg041","Dem. 41","Against Spudias"
"tlg0014.tlg042","Dem. 42","Against Phaenippus"
"tlg0014.tlg043","Dem. 43","Against Macartatus"
"tlg0014.tlg044","Dem. 44","Against Leochares"
"tlg0014.tlg045","Dem. 45","Against Stephanus I"
"tlg0014.tlg046","Dem. 46","Against Stephanus II"
"tlg0014.tlg047","Dem. 47","Against Evergus and Mnesibulus"
"tlg0014.tlg048","Dem. 48","Against Olympiodorus"
"tlg0014.tlg049","Dem. 49","Apollodorus Against Timotheus"
"tlg0014.tlg050","Dem. 50","Apollodorus Against Polycles"
"tlg0014.tlg051","Dem. 51","On the Trierarchic Crown"
"tlg0014.tlg052","Dem. 52","Apollodorus Against Callippus"
"tlg0014.tlg053","Dem. 53","Apollodorus Against Nicostratus"
"tlg0014.tlg054","Dem. 54","Against Conon"
"tlg0014.tlg055","Dem. 55","Against Callicles"
"tlg0014.tlg056","Dem. 56","Against Dionysodorus"
"tlg0014.tlg057","Dem. 57","Against Eubulides"
"tlg0014.tlg058","Dem. 58","Against Theocrines"
"tlg0014.tlg059","Dem. 59","Theomnestus and Apollodorus Against Neaera"
"tlg0014.tlg060","Dem. 60","The Funeral Speech"
"tlg0014.tlg061","Dem. 61","The Erotic Essay"
"tlg0014.tlg062","Dem. Ex.","Exordia"
"tlg0014.tlg063","Dem. L.","Letters"
"tlg0015.tlg001","exc.Marc.","Ab excessu divi Marci"
"tlg0016.tlg001","Hist.","Histories"
"tlg0017.tlg001","Isaeus 1","On The Estate of Cleonymus"
"tlg0017.tlg002","Isaeus 2","On the Estate of Menecles"
"tlg0017.tlg003","Isaeus 3","On The Estate Of Pyrrhus"
"tlg0017.tlg004","Isaeus 4","On the Estate of Nicostratus"
"tlg0017.tlg005","Isaeus 5","On the Estate of Dicaeogenes"
"tlg0017.tlg006","Isaeus 6","On the Estate of Philoctemon"
"tlg0017.tlg007","Isaeus 7","On The Estate of Apollodorus"
"tlg0017.tlg008","Isaeus 8","On The Estate of Ciron"
"tlg0017.tlg009","Isaeus 9","On the Estate of Astyphilus"
"tlg0017.tlg010","Isaeus 10","On The Estate of Aristarchus"
"tlg0017.tlg011","Isaeus 11","On the Estate of Hagnias"
"tlg0017.tlg012","Isaeus 12","On Behalf of Euphiletus"
"tlg0018.tlg001","opif.mund.","De Opificio Mundi"
"tlg0018.tlg002","Leg.Alleg.","Legum Allegoriarum Libri I-III"
"tlg0018.tlg003","Cherub.","De Cherubim"
"tlg0018.tlg004","Sacrif.Abel.","De Sacrificiis Abelis Et Caini"
"tlg0018.tlg005","Deter.Pot.Insid.","Quod Deterius Potiori Insidiari Soleat"
"tlg0018.tlg006","Post.Cain.","De Posteritate Caini"
"tlg0018.tlg007","Gigant.","De Gigantibus"
"tlg0018.tlg008","Deus.immut.","Quod Deus Sit Immutabilis"
"tlg0018.tlg009","Agric.","De Agricultura"
"tlg0018.tlg010","Plant.","De Plantatione"
"tlg0018.tlg011","Ebriet.","De Ebrietate"
"tlg0018.tlg012","Sobriet.","De Sobrietate"
"tlg0018.tlg013","Confus.Ling.","De Confusione Linguarum"
"tlg0018.tlg014","Migrat.Abr.","De Migratione Abrahami"
"tlg0018.tlg015","Rer.Div.Her.","Quis Rerum Divinarum Heres Sit"
"tlg0018.tlg016","Congr.Erud.","De Congressu Eruditionis Gratia"
"tlg0018.tlg017","Fug.Inv.","De Fuga Et Inventione"
"tlg0018.tlg018","Mut.nom.","De Mutatione Nominum"
"tlg0018.tlg019","Somn.","De Somniis (lib. i-ii)"
"tlg0018.tlg020","Abr.","De Abrahamo"
"tlg0018.tlg021","Joseph.","De Josepho"
"tlg0018.tlg022","Vit.Mos.","De Vita Mosis (Lib. I-II)"
"tlg0018.tlg023","Decalog.","De Decalogo"
"tlg0018.tlg024","Special.Leg.","De Specialibus Legibus (lib. i‑iv)"
"tlg0018.tlg025","Virtut.","De Virtutibus"
"tlg0018.tlg026","Praem.Poen.","De Praemiis Et Poenis Et De Exsecrationibus"
"tlg0018.tlg027","Omn.Prob.","Quod Omnis Probus Liber Sit"
"tlg0018.tlg028","Vit.Contemp.","De Vita Contemplativa"
"tlg0018.tlg029","Aetern.Mund.","De Aeternitate Mundi"
"tlg0018.tlg030","Flacc.","In Flaccum"
"tlg0018.tlg031","Leg.Gaium","Legatio Ad Gaium"
"tlg0019.tlg001","Ach.","Acharnians"
"tlg0019.tlg002","Kn.","Knights"
"tlg0019.tlg003","Cl.","Clouds"
"tlg0019.tlg004","Wasps","Wasps"
"tlg0019.tlg005","Peace","Peace"
"tlg0019.tlg006","Birds","Birds"
"tlg0019.tlg007","Lys.","Lysistrata"
"tlg0019.tlg008","Thes.","Thesmophoriazusae"
"tlg0019.tlg009","Frogs","Frogs"
"tlg0019.tlg010","Eccl.","Ecclesiazusae"
"tlg0019.tlg011","Pl.","Wealth"
"tlg0020.tlg001","Th.","Theogony"
"tlg0020.tlg002","WD","Works and Days"
"tlg0020.tlg003","Sh.","Shield of Heracles"
"tlg0022.tlg001","Ther.","Theriaca"
"tlg0022.tlg002","Alexiph.","Alexipharmaca"
"tlg0023.tlg001","Hal.","Halieutica"
"tlg0024.tlg001","Cyneg.","Cynegetica"
"tlg0026.tlg001","Aeschin. 1","Against Timarchus"
"tlg0026.tlg002","Aeschin. 2","On the Embassy"
"tlg0026.tlg003","Aeschin. 3","Against Ctesiphon"
"tlg0026.tlg004","ep.","Epistolae"
"tlg0027.tlg001","Andoc. 1.","On the Mysteries"
"tlg0027.tlg002","Andoc. 2","On His Return"
"tlg0027.tlg003","Andoc. 3","On the Peace with Sparta"
"tlg0027.tlg004","Andoc. 4","Against Alcibiades"
"tlg0028.tlg001","Antiph. 1","Against the Stepmother for Poisoning"
"tlg0028.tlg002","Antiph. 2","The First Tetralogy"
"tlg0028.tlg003","Antiph. 3","The Second Tetralogy"
"tlg0028.tlg004","Antiph. 4","The Third Tetralogy"
"tlg0028.tlg005","Antiph. 5","On the murder of Herodes"
"tlg0028.tlg006","Antiph. 6","On the Choreutes"
"tlg0029.tlg004","Din. 1","Against Demosthenes"
"tlg0029.tlg005","Din. 2","Against Aristogiton"
"tlg0029.tlg006","Din. 3","Against Philocles"
"tlg0030.tlg001","Hyp. 1","In Defence of Lycophron"
"tlg0030.tlg002","Hyp. 2","Against Philippides"
"tlg0030.tlg003","Hyp. 3","Against Athenogenes"
"tlg0030.tlg004","Hyp. 4","In Defence of Euxenippus"
"tlg0030.tlg005","Hyp. 5","Against Demosthenes"
"tlg0030.tlg006","Hyp. 6","Funeral Oration"
"tlg0031.tlg001","Matt","Matthew"
"tlg0031.tlg002","Mark","Gospel of Mark"
"tlg0031.tlg003","Luke","Luke"
"tlg0031.tlg004","John","John"
"tlg0031.tlg005","Acts","Acts"
"tlg0031.tlg006","Rom","Romans"
"tlg0031.tlg007","1Cor","1 Corinthians"
"tlg0031.tlg008","2Cor","2 Corinthians"
"tlg0031.tlg009","Gal","Galatians"
"tlg0031.tlg010","Eph","Ephesians"
"tlg0031.tlg011","Phlp","Philippians"
"tlg0031.tlg012","Col","Colossians"
"tlg0031.tlg013","1Thes","1 Thessalonians"
"tlg0031.tlg014","2Thes","2 Thessalonians"
"tlg0031.tlg015","1Tim","1 Timothy"
"tlg0031.tlg016","2Tim","2 Timothy"
"tlg0031.tlg017","Tit","Titus"
"tlg0031.tlg018","Phlm","Philemon"
"tlg0031.tlg019","Heb","Hebrews"
"tlg0031.tlg020","Jas","James"
"tlg0031.tlg021","1Pt","1 Peter"
"tlg0031.tlg022","2Pt","2 Peter"
"tlg0031.tlg023","1Jo","1 John"
"tlg0031.tlg024","2Jo","2 John"
"tlg0031.tlg025","3Jo","3 John"
"tlg0031.tlg026","Jud","Jude"
"tlg0031.tlg027","Rev","Revelation"
"tlg0032.tlg001","Xen. Hell.","Hellenica"
"tlg0032.tlg002","Xen. Mem.","Memorabilia"
"tlg0032.tlg003","Xen. Ec.","Economics"
"tlg0032.tlg004","Xen. Sym.","Symposium"
"tlg0032.tlg005","Xen. Apol.","Apology"
"tlg0032.tlg006","Xen. Anab.","Anabasis"
"tlg0032.tlg007","Xen. Cyrop.","Cyropaedia"
"tlg0032.tlg008","Xen. Hiero","Hiero"
"tlg0032.tlg009","Xen. Ages.","Agesilaus"
"tlg0032.tlg010","Xen. Const. Lac.","Constitution of the Lacedaimonians"
"tlg0032.tlg011","Xen. Ways","Ways and Means"
"tlg0032.tlg012","Xen. Cav.","On the Cavalry Commander"
"tlg0032.tlg013","Xen. Horse","On the Art of Horsemanship"
"tlg0032.tlg014","Xen. Hunt.","On Hunting"
"tlg0033.tlg001","Pind. O.","Olympian"
"tlg0033.tlg002","Pind. P.","Pythian"
"tlg0033.tlg003","Pind. N.","Nemean"
"tlg0033.tlg004","Pind. I.","Isthmean"
"tlg0034.tlg001","Lyc. l.","Against Leocrates"
"tlg0035.tlg001","Eros","Eros Drapeta"
"tlg0035.tlg002","Europ.","Europa"
"tlg0035.tlg003","Epitaph.B.","Epitaphius Bios"
"tlg0035.tlg004","Megar.","Megara"
"tlg0035.tlg005","fr.","Fragmenta"
"tlg0036.tlg001","Epitaph.Adon.","Epitaphius Adonis"
"tlg0036.tlg002","Epithal.Achil.","Epithalamium Achillis et Deidameiae"
"tlg0036.tlg003","fr.","Fragmenta"
"tlg0037.tlg001","ep.","Epistulae"
"tlg0039.tlg001","ep.","Epistula"
"tlg0041.tlg001","ep.","Epistulae"
"tlg0044.tlg001","ep.","Epistulae"
"tlg0045.tlg001","ep.","Epistulae"
"tlg0046.tlg001","ep.","Epistula"
"tlg0048.tlg001","ep.","Epistulae"
"tlg0053.tlg001","ep.","Epistulae"
"tlg0055.tlg001","ep.","Epistulae"
"tlg0057.tlg001","adh.art.","Adhortatio ad artes addiscendas"
"tlg0057.tlg002","opt.doct.","De optima doctrina"
"tlg0057.tlg003","opt.medic.","Quod optimus medicus sit quoque philosophus"
"tlg0057.tlg004","sect.int.","De sectis ad eos qui introducuntur"
"tlg0057.tlg006","const.art.med.","De constitutione artis medicae ad Patrophilum"
"tlg0057.tlg007","ars.Med.","Ars Medica"
"tlg0057.tlg008","elem.Hipp.","De elementis ex Hippocrate"
"tlg0057.tlg009","temper.","De temperamentis"
"tlg0057.tlg010","natur.fac.","De naturalibus facultatibus"
"tlg0057.tlg011","anatom.adm.","De anatomicis administrationibus"
"tlg0057.tlg012","ossib.tiron.","De ossibus ad tirones"
"tlg0057.tlg013","venar.arter.","De venarum arteriarumque dissectione"
"tlg0057.tlg014","nerv.dissec.","De nervorum dissectione"
"tlg0057.tlg015","instr.odor.","De instrumento odoratus"
"tlg0057.tlg016","uter.dissec.","De uteri dissectione"
"tlg0057.tlg017","usu.part.corp.","De usu partium corporis humani I-XI"
"tlg0057.tlg018","mot.muscul.","De motu musculorum"
"tlg0057.tlg019","Vict.Atten.","De Victu Attenuante"
"tlg0057.tlg020","util.respir.","De utilitate respirationis"
"tlg0057.tlg021","semin.","De semine"
"tlg0057.tlg022","foet.form.","De foetuum formatione"
"tlg0057.tlg023","arter.sang.","An in arteriis sanguis contineatur"
"tlg0057.tlg024","optim.corp.","De optima corporis nostri constitutione"
"tlg0057.tlg025","bon.hab.","De bono habitu"
"tlg0057.tlg027","anim.mor.","Quod animi mores corporis temperamenta sequantur"
"tlg0057.tlg028","propr.anim.","De propriorum animi cuiuslibet affectuum dignotione et curatione"
"tlg0057.tlg029","anim.pecc.","De animi cuiuslibet peccatorum dignotione et curatione"
"tlg0057.tlg030","atra.bile","De atra bile"
"tlg0057.tlg031","usu.puls.","De usu pulsuum"
"tlg0057.tlg032","placit.Hipp.","De placitis Hippocratis et Platonis"
"tlg0057.tlg033","Thrasyb.","Thrasybulus sive utrum medicinae sit an gymnasticae hygieine"
"tlg0057.tlg034","parv.pil.","De parvae pilae exercitio"
"tlg0057.tlg035","vener.","De venereis"
"tlg0057.tlg036","sanit.tuend.","De sanitate tuenda"
"tlg0057.tlg037","aliment.fac.","De alimentorum facultatibus"
"tlg0057.tlg038","reb.bon.mal.","De rebus boni malique suci"
"tlg0057.tlg039","ptis.","De ptisana"
"tlg0057.tlg040","dignot.","De dignotione ex insomniis"
"tlg0057.tlg041","morb.","De morborum differentiis"
"tlg0057.tlg042","caus.morb.","De causis morborum"
"tlg0057.tlg043","sympt.diff.","De symptomatum differentiis"
"tlg0057.tlg044","sympt.caus.","De symptomatum causis"
"tlg0057.tlg045","diff.febr.","De differentiis febrium"
"tlg0057.tlg046","morb.temp.","De morborum temporibus"
"tlg0057.tlg047","tot.morb.temp.","De totius morbi temporibus"
"tlg0057.tlg048","typ.","De typis"
"tlg0057.tlg049","typ.circuit.","Adversus eos qui de typis scripserunt vel de circuitibus"
"tlg0057.tlg050","plenitud.","De plenitudine"
"tlg0057.tlg051","tremor.","De tremore, palpitatione, convulsione et rigore"
"tlg0057.tlg052","comat.Hipp.","De comate secundum Hippocratem"
"tlg0057.tlg053","marcor.","De marcore"
"tlg0057.tlg054","tumor.","De tumoribus praeter naturam"
"tlg0057.tlg055","inaequal.","De inaequali intemperie"
"tlg0057.tlg056","diffic.respir.","De difficultate respirationis"
"tlg0057.tlg057","loc.affect.","De locis affectis"
"tlg0057.tlg058","pulsib.","De pulsibus ad tirones"
"tlg0057.tlg059","diff.puls.","De differentiis pulsuum"
"tlg0057.tlg060","dignosc.puls.","De dignoscendis pulsibus"
"tlg0057.tlg061","caus.puls.","De causis pulsuum"
"tlg0057.tlg062","praesag.","De praesagitione ex pulsibus"
"tlg0057.tlg063","synops.puls.","Synopsis librorum suorum de pulsibus"
"tlg0057.tlg064","cris.","De crisibus"
"tlg0057.tlg065","dieb.decret.","De diebus decretoriis"
"tlg0057.tlg066","meth.med.","De methodo medendi"
"tlg0057.tlg067","Glauc.meth.","Ad Glauconem de methodo medendi"
"tlg0057.tlg068","ven.sec.Eras.","De venae sectione adversus Erasistratum"
"tlg0057.tlg069","ven.sec.Eras.Rom.","De venae sectione adversus Erasistrateos Romae degentes"
"tlg0057.tlg070","cur.ratio.","De curandi ratione per venae sectionem"
"tlg0057.tlg071","hirud.revuls.","De hirudinibus, revulsione, cucurbitula, incisione et scarificatione"
"tlg0057.tlg072","purgant.med.","De purgantium medicamentorum facultate"
"tlg0057.tlg073","cathart.medic.","Quos quibus catharticis medicamentis et quando purgare oporteat"
"tlg0057.tlg074","puer.epilept.","Pro puero epileptico consilium"
"tlg0057.tlg075","simplic.medic.temp.","De simplicium medicamentorum temperamentis ac facultatibus I-VI"
"tlg0057.tlg076","comp.medic.locos","De compositione medicamentorum secundum locos libri X"
"tlg0057.tlg077","comp.medic.gen.","De compositione medicamentorum per genera"
"tlg0057.tlg078","antidot.","De antidotis"
"tlg0057.tlg079","theriac.Pison.","De theriaca ad Pisonem"
"tlg0057.tlg081","Inst.log.","Institutio logica"
"tlg0057.tlg082","soph.capt.","De sophismatis seu captionibus penes dictionem"
"tlg0057.tlg083","praen.Epig.","De praenotione ad Epigenem"
"tlg0057.tlg084","subs.fac.nat.","De substantia facultatum naturalium fragmentum"
"tlg0057.tlg085","Hipp.nat.hom.","In Hippocratis De natura hominis"
"tlg0057.tlg086","Hipp.Polyb.","In Hippocratis vel Polybi Opus de Salubri Victus Ratione Privatorum Commentarius"
"tlg0057.tlg087","Hipp.vict.","In Hippocratis De victu acutorum"
"tlg0057.tlg089","Hipp.Epid.","In Hippocratis Epidemiarum I"
"tlg0057.tlg092","Hipp.Aphor.","In Hippocratis Aphorismos Commentarii VII"
"tlg0057.tlg093","c.Lyc.","Adversus Lycum"
"tlg0057.tlg094","c.Jul.Hipp.","Adversus ea quae Juliano in Hippocratis Aphorismos enuntiata sunt"
"tlg0057.tlg095","Hippoc.artic.","In Hippocratis De articulis"
"tlg0057.tlg096","Humer.Mod.","De Humero iis Modis Prolapso quos Hippocrates non Vidit"
"tlg0057.tlg099","Hipp.prognos.","In Hippocratis Prognosticum"
"tlg0057.tlg100","Hipp.fract.","In Hippocratis De fracturis"
"tlg0057.tlg101","Hippoc.offic.med.","In Hippocratis De officina medici"
"tlg0057.tlg102","musc.dissec.","De musculorum dissectione ad tirones"
"tlg0057.tlg103","consuet.","De consuetudinibus"
"tlg0057.tlg107","exper.med.","De experientia medica"
"tlg0057.tlg114","caus.resp.","De causis respirationis"
"tlg0058.tlg001","Polior.","Poliorcetica"
"tlg0059.tlg001","Euthyph.","Euthyphro"
"tlg0059.tlg002","Apol.","Apology"
"tlg0059.tlg003","Crito","Crito"
"tlg0059.tlg004","Phaedo","Phaedo"
"tlg0059.tlg005","Crat.","Cratylus"
"tlg0059.tlg006","Theaet.","Theaetetus"
"tlg0059.tlg007","Soph.","Sophist"
"tlg0059.tlg008","Stat.","Statesman"
"tlg0059.tlg009","Parm.","Parmenides"
"tlg0059.tlg010","Phileb.","Philebus"
"tlg0059.tlg011","Sym.","Symposium"
"tlg0059.tlg012","Phaedrus","Phaedrus"
"tlg0059.tlg013","Alc. 1","Alcibiades 1"
"tlg0059.tlg014","Alc. 2","Alcibiades 2"
"tlg0059.tlg015","Hipparch.","Hipparchus"
"tlg0059.tlg016","Lovers","Lovers"
"tlg0059.tlg017","Theag.","Theages"
"tlg0059.tlg018","Charm.","Charmides"
"tlg0059.tlg019","Lach.","Laches"
"tlg0059.tlg020","Lysis","Lysis"
"tlg0059.tlg021","Euthyd.","Euthydemus"
"tlg0059.tlg022","Prot.","Protagoras"
"tlg0059.tlg023","Gorg.","Gorgias"
"tlg0059.tlg024","Men.","Meno"
"tlg0059.tlg025","Hipp. Maj.","Greater Hippias"
"tlg0059.tlg026","Hipp. Min.","Lesser Hippias"
"tlg0059.tlg027","Ion","Ion"
"tlg0059.tlg028","Menex.","Menexenus"
"tlg0059.tlg029","Cleit.","Cleitophon"
"tlg0059.tlg030","Rep.","Republic"
"tlg0059.tlg031","Tim.","Timaeus"
"tlg0059.tlg032","Criti.","Critias"
"tlg0059.tlg033","Min.","Minos"
"tlg0059.tlg034","Leg.","Laws"
"tlg0059.tlg035","Epin.","Epinomis"
"tlg0059.tlg036","L.","Letters"
"tlg0059.tlg037","Defin.","Definitiones"
"tlg0060.tlg001","Hist.Lib.","Historical Library"
"tlg0061.tlg001","Asin.","Asinus"
"tlg0061.tlg002","Amor.","Amores"
"tlg0061.tlg003","Demosth.enc.","Demosthenis encomium"
"tlg0061.tlg004","Halc.","Halcyon"
"tlg0061.tlg005","Ocyp.","Ocypus"
"tlg0061.tlg006","Cynic.","Cynicus"
"tlg0061.tlg007","Philop.","Philopatris"
"tlg0061.tlg008","Charid.","Charidemus"
"tlg0062.tlg001","Phal.","Phalaris"
"tlg0062.tlg002","Hip.","Hippias"
"tlg0062.tlg003","Bacch.","Bacchus"
"tlg0062.tlg004","Herc.","Hercules"
"tlg0062.tlg005","Electr.","Electrum"
"tlg0062.tlg006","Musc. Enc.","Muscae Encomium"
"tlg0062.tlg007","Nigr.","Nigrinus"
"tlg0062.tlg008","Demon.","Demonax"
"tlg0062.tlg009","Dom.","De Domo"
"tlg0062.tlg010","Patr. Enc.","Patriae encomium"
"tlg0062.tlg011","Macr.","Macrobii"
"tlg0062.tlg012","VH","Verae historiae"
"tlg0062.tlg013","Cal.","Calumniae non temere credundum"
"tlg0062.tlg014","Jud. Voc.","Judicium vocalium"
